STAT_VAR,STAT_PRES,CCYY,DC,Sex,Age,OBS_VALUE,SD_VALUE
PP,Raw_per_n,2020,H,M,0 - 14,23400,
PP,Raw_per_n,2020,H,M,15 - 24,19000,
PP,Raw_per_n,2020,H,M,25 - 34,24500,
PP,Raw_per_n,2020,H,M,35 - 44,24900,
PP,Raw_per_n,2020,H,M,45 - 54,27100,
PP,Raw_per_n,2020,H,M,55 - 64,35600,
PP,Raw_per_n,2020,H,M,>= 65,36300,
PP,Raw_per_n,2020,H,F,0 - 14,22600,
PP,Raw_per_n,2020,H,F,15 - 24,18200,
PP,Raw_per_n,2020,H,F,25 - 34,28800,
PP,Raw_per_n,2020,H,F,35 - 44,35900,
PP,Raw_per_n,2020,H,F,45 - 54,36300,
PP,Raw_per_n,2020,H,F,55 - 64,37400,
PP,Raw_per_n,2020,H,F,>= 65,44300,
PP,Raw_per_n,2020,J,M,0 - 14,44100,
PP,Raw_per_n,2020,J,M,15 - 24,31600,
PP,Raw_per_n,2020,J,M,25 - 34,39900,
PP,Raw_per_n,2020,J,M,35 - 44,44100,
PP,Raw_per_n,2020,J,M,45 - 54,44600,
PP,Raw_per_n,2020,J,M,55 - 64,54100,
PP,Raw_per_n,2020,J,M,>= 65,59800,
PP,Raw_per_n,2020,J,F,0 - 14,41300,
PP,Raw_per_n,2020,J,F,15 - 24,30600,
PP,Raw_per_n,2020,J,F,25 - 34,46800,
PP,Raw_per_n,2020,J,F,35 - 44,62300,
PP,Raw_per_n,2020,J,F,45 - 54,59600,
PP,Raw_per_n,2020,J,F,55 - 64,59800,
PP,Raw_per_n,2020,J,F,>= 65,67800,
PP,Raw_per_n,2020,S,M,0 - 14,31500,
PP,Raw_per_n,2020,S,M,15 - 24,24100,
PP,Raw_per_n,2020,S,M,25 - 34,29300,
PP,Raw_per_n,2020,S,M,35 - 44,31400,
PP,Raw_per_n,2020,S,M,45 - 54,33300,
PP,Raw_per_n,2020,S,M,55 - 64,40100,
PP,Raw_per_n,2020,S,M,>= 65,42800,
PP,Raw_per_n,2020,S,F,0 - 14,29000,
PP,Raw_per_n,2020,S,F,15 - 24,22700,
PP,Raw_per_n,2020,S,F,25 - 34,34500,
PP,Raw_per_n,2020,S,F,35 - 44,47000,
PP,Raw_per_n,2020,S,F,45 - 54,42200,
PP,Raw_per_n,2020,S,F,55 - 64,43900,
PP,Raw_per_n,2020,S,F,>= 65,49300,
PP,Raw_per_n,2020,K,M,0 - 14,18100,
PP,Raw_per_n,2020,K,M,15 - 24,14200,
PP,Raw_per_n,2020,K,M,25 - 34,20300,
